artist_id,artist_name,genre,artist_hotness
1,Casual,hip hop,0.4019975433642836
2,The Box Tops,blue-eyed soul,0.4174996449709784
3,Sonora Santanera,salsa,0.34342837829688244
4,Adam Ant,pop rock,0.4542311565706205
5,Gob,pop punk,0.40172368550367865
6,Jeff And Sheri Easter,southern gospel,0.385470550555821
7,Rated R,breakbeat,0.2619411773808474
8,Tweeterfriendly Music,post-hardcore,0.6055071356905752
9,Planet P Project,new wave,0.33227574659906806
10,Clp,breakcore,0.42270564102939107
11,JennyAnyKind,alternative rock,0.29626895431146333
12,Wayne Watson,ccm,0.35155586118563925
13,Andy Andy,bachata,0.3794821702804675
14,Bob Azzam,chanson,0.25193652476242323
15,Lionel Richie,quiet storm,0.5530719914619753
16,Blue Rodeo,country rock,0.4479354804795022
17,Richard Souther,chill-out,0.33080635685585685
18,Faiz Ali Faiz,qawwali,0.30667609347902947
19,Tesla,hard rock,0.5134632897021558
20,lextrical,indietronica,0.0
21,Jimmy Wakely,classic country,0.29153972708877773
22,Alice Stuart,electric blues,0.3285530150180186
23,Elena,uk garage,0.37825468551016656
24,The Dillinger Escape Plan,math-core,0.5418889720336469
25,SUE THOMPSON,pop rock,0.3062422642462862
26,Five Bolt Main,post-grunge,0.3636513650591166
27,Tim Wilson,filk,0.3499126116745628
28,Willie Bobo,latin jazz,0.3796711247498673
29,Faye Adams,jump blues,0.2992303679293693
30,Terry Callier,soul jazz,0.4161730646266773
31,John Wesley,disco,0.45278947675222264
32,The Shangri-Las,doo-wop,0.4182165181949368
33,Billie Jo Spears,classic country,0.3846110839616365
34,Mike Jones (Featuring CJ_ Mello & Lil' Bran),rap,0.42631795640769016
35,Sierra Maestra,charanga,0.39273367554668775
36,Butthole Surfers,noise rock,0.48801984168567314
37,Despina Vandi,dance pop,0.41168895978577885
38,Javier Navarrete,orchestra,0.38265197113973687
39,Jacob Young,cool jazz,0.294861261887382
40,Scarlet's Remains,gothic metal,0.3931219335710068
41,The Suicide Machines,ska punk,0.4675384440100101
42,The Rolling Stones,blues,0.7357656929506414
43,Roberto Torres,salsa,0.3500785789894733
44,Loudon Wainwright III,modern rock,0.4427658420289504
45,R.L. Burnside,delta blues,0.4666288889016846
46,Stevie Ray Vaughan,texas blues,0.544257505724526
47,John Hammond,blues,0.45281783769711387
48,Casiotone For The Painfully Alone,trip hop,0.3942171989010042
49,Ec8or,hardcore techno,0.3345773601190987
50,The New York Dolls,glam rock,0.4793084593382274
51,Eliane Elias,brazilian jazz,0.42791424698295477
52,Lost Boyz,gangster rap,0.41224060053560735
53,The Germs,rock,0.40439264015477133
54,Yamandu Costa,brazilian jazz,0.38347574490669173
55,Chris Rea,soft rock,0.500691340913453
56,Perrey And Kingsley,easy listening,0.3384148184832545
57,Eurythmics,dance rock,0.5236990777653908
58,Francis Dunnery,singer-songwriter,0.3835242473277272
59,John Cale,experimental rock,0.48165586241245567
60,Suzanne Ciani,meditation,0.3807045358244573
61,Vickie Winans,ccm,0.3968558693253486
62,The Berzerker,speedcore,0.45755390983649336
63,Kings Of Leon,southern rock,0.7888059351620142
64,Edith Lefel,zouk,0.30004649036641506
65,Taras,trance,0.18931487775261457
66,NOFX,punk,0.5542914890128156
67,Murskahumppa,suomi rock,0.26803783963074496
68,Soda Stereo,rock,0.46682699252718746
69,Bruce Rowland,easy listening,0.3004544598123077
70,Xcultures,gabba,0.26627528554651025
71,White Heart,ccm,0.33750728916593725
72,Heavy D / McGruff,pop rap,0.36366811024462387
73,Van Halen,heavy metal,0.5799889824287546
74,Black Eyed Peas,hip hop,1.0059419659547393
75,Nine Inch Nails,industrial metal,0.5984585009824434
76,Nick Cave & The Bad Seeds,rock,0.47940767557514763
77,Nadine Renee,freestyle,0.13924739387110993
